Order Number,Line Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
315211,0,2018-08-18,2018-08-20,1362887,999999,2419,1,25.9900,25.9900,13.2500,USD,1
316905,0,2018-09-04,2018-09-05,1629698,999999,1570,1,398.0000,398.0000,131.8700,USD,1
358902,0,2019-10-29,2019-11-01,1952591,999999,1716,1,70.1300,70.1300,32.2500,USD,1
293503,0,2018-01-13,2018-01-15,1735026,999999,1638,1,18.0570,16.9735,8.3070,USD,1
334609,0,2019-02-28,2019-03-04,1474189,999999,1643,1,57.8800,57.8800,26.6200,USD,1
324203,0,2018-11-16,2018-11-18,1693348,999999,436,1,369.0000,369.0000,188.1300,USD,1
318706,0,2018-09-22,2018-09-24,1619118,999999,1609,1,259.9900,246.9905,86.1400,USD,1
315203,0,2018-08-18,2018-08-20,1257713,999999,2115,1,877.5000,772.2000,403.5300,USD,1
288603,0,2017-11-25,2017-11-28,1585210,999999,1268,1,54.9560,47.2621,28.0170,USD,1
315401,0,2018-08-20,2018-08-23,1240912,999999,81,1,40.5500,35.2785,18.6500,USD,1
343100,0,2019-05-24,2019-05-25,1354637,999999,1615,1,289.9900,263.8909,96.0800,USD,1
306005,0,2018-05-18,2018-05-21,2010315,999999,1759,1,104.8900,102.7922,34.7500,USD,1
354202,0,2019-09-12,2019-09-16,1649990,999999,1572,1,57.9900,57.9900,26.6700,USD,1
305803,0,2018-05-16,2018-05-17,1293077,999999,437,1,499.9000,444.9110,254.8600,USD,1
331803,0,2019-01-31,2019-02-06,1315365,999999,1742,1,28.0000,25.2000,14.2800,USD,1
327406,0,2018-12-18,2018-12-20,1455360,999999,176,1,126.9000,114.2100,58.3600,USD,1
356103,0,2019-10-01,2019-10-03,1986637,999999,720,1,236.0000,210.0400,78.1900,USD,1
291500,0,2017-12-24,2017-12-27,1633471,999999,1638,1,18.0570,18.0570,8.3070,USD,1
365200,0,2019-12-31,2020-01-03,1853674,999999,1633,1,13.8900,13.8900,6.3900,USD,1
320108,0,2018-10-06,2018-10-08,1704351,999999,2184,1,445.0000,445.0000,204.6400,USD,1
317103,0,2018-09-06,2018-09-11,1960187,999999,169,1,119.0000,117.8100,54.7200,USD,1
352002,0,2019-08-21,2019-08-24,1763607,999999,1563,1,268.0000,235.8400,123.2400,USD,1
273203,0,2017-06-24,2017-06-29,1254669,999999,1536,1,417.2000,358.7920,191.8560,USD,1
358400,0,2019-10-24,2019-10-26,1408901,999999,2115,1,877.5000,772.2000,403.5300,USD,1
280003,0,2017-08-31,2017-09-02,1223699,999999,1693,1,6.1920,5.6966,2.8440,USD,1
295901,0,2018-02-06,2018-02-09,1920883,999999,1496,1,403.2000,354.8160,185.4160,USD,1
280700,0,2017-09-07,2017-09-10,1758208,999999,140,1,474.9905,422.7415,218.4335,USD,1
367402,0,2020-01-22,2020-01-24,1597080,999999,1158,1,1560.0000,1404.0000,516.8600,USD,1
370309,0,2020-02-20,2020-02-21,1790900,999999,680,1,116.0000,116.0000,53.3400,USD,1
348804,0,2019-07-20,2019-07-22,1591709,999999,2160,1,445.0000,409.4000,204.6400,USD,1
309506,0,2018-06-22,2018-06-24,1757210,999999,1823,1,32.0000,27.5200,16.3100,USD,1
293510,0,2018-01-13,2018-01-18,1576532,999999,416,1,1453.5000,1308.1500,481.5750,USD,1
316502,0,2018-08-31,2018-09-05,1664223,999999,536,1,99.0000,89.1000,50.4700,USD,1
316408,0,2018-08-30,2018-08-31,1284544,999999,1519,1,310.0000,310.0000,142.5600,USD,1
364715,0,2019-12-26,2019-12-30,1504968,999999,1648,1,109.9900,95.6913,56.0800,USD,1
294005,0,2018-01-18,2018-01-21,2070376,999999,409,1,489.0000,489.0000,249.3000,USD,1
285303,0,2017-10-23,2017-10-28,1625653,999999,130,1,190.0000,190.0000,96.8715,USD,1
347204,0,2019-07-04,2019-07-07,1237380,999999,458,1,229.9000,206.9100,117.2100,USD,1
288305,0,2017-11-22,2017-11-26,1339584,999999,1598,1,75.2440,75.2440,34.6060,USD,1
286204,0,2017-11-01,2017-11-06,1473409,999999,128,1,136.2300,121.2447,69.4545,USD,1
326405,0,2018-12-08,2018-12-10,1863451,999999,2499,1,23.7200,23.7200,12.0900,USD,1
360303,0,2019-11-12,2019-11-14,1579524,999999,1507,1,267.0000,256.3200,122.7800,USD,1
341603,0,2019-05-09,2019-05-12,1390590,999999,1694,1,8.8800,7.7256,4.0800,USD,1
329109,0,2019-01-04,2019-01-08,1299781,999999,586,1,109.0000,103.5500,55.5700,USD,1
293201,0,2018-01-10,2018-01-12,1841571,999999,173,1,85.4050,77.7185,43.5385,USD,1
361302,0,2019-11-22,2019-11-24,1273486,999999,2031,1,665.9400,665.9400,220.6400,USD,1
344405,0,2019-06-06,2019-06-08,2044803,999999,1501,1,229.0000,226.7100,105.3100,USD,1
305001,0,2018-05-08,2018-05-12,1366816,999999,1594,1,9.9900,9.3906,5.0900,USD,1
321507,0,2018-10-20,2018-10-23,1754524,999999,2454,1,29.9900,29.9900,15.2900,USD,1
308803,0,2018-06-15,2018-06-17,1401397,999999,330,1,309.0000,309.0000,157.5400,USD,1
290202,0,2017-12-11,2017-12-13,1505243,999999,1480,1,180.6000,178.7940,92.0780,USD,1
329505,0,2019-01-08,2019-01-10,1329217,999999,1866,1,999.9000,899.9100,509.7800,USD,1
335102,0,2019-03-05,2019-03-08,1781561,999999,391,1,699.0000,615.1200,321.4400,USD,1
311004,0,2018-07-07,2018-07-08,1660175,999999,1630,1,22.8900,20.3721,7.5800,USD,1
314201,0,2018-08-08,2018-08-12,1213598,999999,1586,1,12.6600,11.1408,5.8200,USD,1
317001,0,2018-09-05,2018-09-07,1809447,999999,1708,1,70.1300,62.4157,32.2500,USD,1
354400,0,2019-09-14,2019-09-17,1829547,999999,1620,1,60.9900,60.9900,28.0500,USD,1
328003,0,2018-12-24,2018-12-26,1584834,999999,573,1,139.0000,120.9300,70.8700,USD,1
327113,0,2018-12-15,2018-12-16,1483732,999999,1547,1,255.0000,229.5000,117.2700,USD,1
369609,0,2020-02-13,2020-02-15,1399286,999999,119,1,119.9900,107.9910,61.1700,USD,1
318604,0,2018-09-21,2018-09-24,1347791,999999,1588,1,13.8900,12.2232,6.3900,USD,1
289805,0,2017-12-07,2017-12-09,1866936,999999,1696,1,15.2910,15.2910,5.0670,USD,1
286306,0,2017-11-02,2017-11-05,1786310,999999,426,1,749.8500,749.8500,382.2900,USD,1
307508,0,2018-06-02,2018-06-05,1229095,999999,1541,1,299.0000,299.0000,137.5000,USD,1
367701,0,2020-01-25,2020-01-30,1746117,999999,1481,1,229.0000,203.8100,105.3100,USD,1
320503,0,2018-10-10,2018-10-14,1776613,999999,2346,1,119.9900,103.1914,61.1700,USD,1
289007,0,2017-11-29,2017-12-01,1525509,999999,1774,1,38.7000,35.6040,19.7280,USD,1
